,driverId,driver_name,total_wins,final_position
0,1,Lewis Hamilton,89,1.0
1,830,Max Verstappen,60,1.0
2,20,Sebastian Vettel,43,1.0
3,3,Nico Rosberg,23,1.0
4,822,Valtteri Bottas,10,1.0
5,817,Daniel Ricciardo,8,1.0
6,4,Fernando Alonso,6,1.0
7,18,Jenson Button,6,1.0
8,815,Sergio Pérez,6,1.0
9,844,Charles Leclerc,6,1.0
10,8,Kimi Räikkönen,3,1.0
11,17,Mark Webber,3,1.0
12,832,Carlos Sainz,3,1.0
13,847,George Russell,2,1.0
14,813,Pastor Maldonado,1,1.0
15,839,Esteban Ocon,1,1.0
16,842,Pierre Gasly,1,1.0
17,846,Lando Norris,1,1.0
18,1,Lewis Hamilton,43,2.0
19,20,Sebastian Vettel,32,2.0
20,822,Valtteri Bottas,29,2.0
21,830,Max Verstappen,29,2.0
22,3,Nico Rosberg,24,2.0
23,4,Fernando Alonso,19,2.0
24,8,Kimi Räikkönen,17,2.0
25,815,Sergio Pérez,17,2.0
26,844,Charles Leclerc,13,2.0
27,846,Lando Norris,11,2.0
28,17,Mark Webber,8,2.0
29,18,Jenson Button,7,2.0
30,817,Daniel Ricciardo,6,2.0
31,832,Carlos Sainz,5,2.0
32,857,Oscar Piastri,3,2.0
33,13,Felipe Massa,2,2.0
34,154,Romain Grosjean,2,2.0
35,825,Kevin Magnussen,1,2.0
36,826,Daniil Kvyat,1,2.0
37,839,Esteban Ocon,1,2.0
38,842,Pierre Gasly,1,2.0
39,847,George Russell,1,2.0
40,1,Lewis Hamilton,29,3.0
41,20,Sebastian Vettel,28,3.0
42,822,Valtteri Bottas,28,3.0
43,8,Kimi Räikkönen,21,3.0
44,4,Fernando Alonso,18,3.0
45,817,Daniel Ricciardo,18,3.0
46,815,Sergio Pérez,16,3.0
47,830,Max Verstappen,16,3.0
48,844,Charles Leclerc,16,3.0
49,832,Carlos Sainz,15,3.0
50,17,Mark Webber,11,3.0
51,847,George Russell,9,3.0
52,154,Romain Grosjean,8,3.0
53,846,Lando Norris,7,3.0
54,13,Felipe Massa,6,3.0
55,18,Jenson Button,6,3.0
56,3,Nico Rosberg,5,3.0
57,840,Lance Stroll,3,3.0
58,826,Daniil Kvyat,2,3.0
59,842,Pierre Gasly,2,3.0
60,848,Alexander Albon,2,3.0
61,2,Nick Heidfeld,1,3.0
62,30,Michael Schumacher,1,3.0
63,155,Kamui Kobayashi,1,3.0
64,808,Vitaly Petrov,1,3.0
65,839,Esteban Ocon,1,3.0
66,857,Oscar Piastri,1,3.0
67,1,Lewis Hamilton,26,4.0
68,20,Sebastian Vettel,26,4.0
69,817,Daniel Ricciardo,22,4.0
70,844,Charles Leclerc,22,4.0
71,815,Sergio Pérez,18,4.0
72,8,Kimi Räikkönen,17,4.0
73,17,Mark Webber,14,4.0
74,830,Max Verstappen,14,4.0
75,822,Valtteri Bottas,13,4.0
76,4,Fernando Alonso,12,4.0
77,13,Felipe Massa,12,4.0
78,847,George Russell,10,4.0
79,18,Jenson Button,9,4.0
80,832,Carlos Sainz,8,4.0
81,3,Nico Rosberg,7,4.0
82,846,Lando Norris,7,4.0
83,826,Daniil Kvyat,4,4.0
84,857,Oscar Piastri,4,4.0
85,807,Nico Hülkenberg,3,4.0
86,839,Esteban Ocon,3,4.0
87,840,Lance Stroll,3,4.0
88,842,Pierre Gasly,3,4.0
89,848,Alexander Albon,3,4.0
90,154,Romain Grosjean,2,4.0
91,814,Paul di Resta,2,4.0
92,30,Michael Schumacher,1,4.0
93,155,Kamui Kobayashi,1,4.0
