,qualifying_position,diff_qual_final,num_pit_stops,driver_points,lap_time,stop_duration,constructor_points,starting_grid_position,final_position
0,1,0.0,1,25.0,98109,22603,35.0,1,1.0
1,2,0.0,1,18.0,100573,23227,26.0,2,2.0
2,6,3.0,1,15.0,102835,24535,15.0,6,3.0
3,5,1.0,1,12.0,106144,23251,18.0,5,4.0
4,3,-2.0,1,10.0,101467,23426,35.0,3,5.0
5,4,-2.0,1,8.0,104722,16867,26.0,4,6.0
6,8,1.0,1,6.0,104196,23842,18.0,8,7.0
7,1,0.0,1,50.0,109614,23019,72.0,1,1.0
8,4,2.0,1,26.0,113644,22400,48.0,4,2.0
9,6,3.0,1,15.0,111553,23900,30.0,6,3.0
10,3,-1.0,1,22.0,116366,22572,72.0,3,4.0
11,7,2.0,1,16.0,114814,29224,36.0,7,5.0
12,5,-1.0,1,20.0,115143,23152,36.0,5,6.0
13,10,3.0,1,6.0,116818,23280,6.0,10,7.0
14,2,-6.0,1,22.0,112046,22552,48.0,2,8.0
15,11,2.0,1,2.0,115519,22576,2.0,11,9.0
16,14,4.0,1,2.0,118560,22773,4.0,14,10.0
17,17,6.0,1,2.0,119476,31694,4.0,17,11.0
18,3,2.0,1,47.0,107286,20878,85.0,3,1.0
19,1,-1.0,1,68.0,107942,21995,105.0,1,2.0
20,18,15.0,1,37.0,115869,23442,105.0,18,3.0
21,2,-2.0,1,38.0,105908,23779,85.0,2,4.0
22,4,-1.0,1,10.0,108840,20771,16.0,4,5.0
23,6,0.0,1,24.0,109483,21624,50.0,6,6.0
24,5,-2.0,1,26.0,110079,22524,50.0,5,7.0
25,14,6.0,1,6.0,111637,20522,16.0,14,8.0
26,10,1.0,1,17.0,113553,21981,32.0,10,9.0
27,13,3.0,1,7.0,113064,21855,7.0,13,10.0
28,8,-3.0,1,2.0,110598,21989,4.0,8,11.0
29,16,4.0,1,15.0,114879,22216,32.0,16,12.0
30,15,2.0,1,0.0,115259,21709,0.0,15,13.0
31,9,-5.0,1,4.0,113957,22010,4.0,9,14.0
32,1,0.0,1,93.0,95269,20623,148.0,1,1.0
33,2,0.0,1,55.0,97199,21050,148.0,2,2.0
34,5,2.0,1,41.0,97580,21308,65.0,5,3.0
35,4,0.0,1,59.0,98852,20833,105.0,4,4.0
36,3,-2.0,1,20.0,96559,22573,26.0,3,5.0
37,6,0.0,1,46.0,98351,21368,105.0,6,6.0
38,9,2.0,1,21.0,100734,22300,42.0,9,7.0
39,7,-1.0,1,21.0,100330,21422,42.0,7,8.0
40,16,7.0,1,6.0,104233,21769,6.0,16,9.0
41,10,-1.0,1,24.0,100887,22022,65.0,10,11.0
42,8,-4.0,1,6.0,99759,30182,26.0,8,12.0
43,2,1.0,1,118.0,95274,20253,185.0,2,1.0
44,3,1.0,1,77.0,96991,19761,138.0,3,2.0
45,5,2.0,1,61.0,100998,20015,138.0,5,3.0
46,1,-3.0,1,67.0,96329,20881,185.0,1,4.0
47,1,0.0,1,143.0,84839,28536,222.0,1,1.0
48,4,2.0,1,69.0,87562,25352,93.0,4,2.0
49,2,-1.0,1,76.0,87288,25280,161.0,2,3.0
50,3,-1.0,1,79.0,88794,37735,222.0,3,4.0
51,13,8.0,1,19.0,96472,28642,21.0,12,5.0
52,7,1.0,1,85.0,94107,31445,161.0,9,6.0
53,7,6.0,1,101.0,143984,23650,186.0,7,1.0
54,1,-1.0,1,161.0,138174,23872,255.0,1,2.0
55,4,1.0,1,94.0,141667,29546,255.0,4,3.0
56,8,4.0,1,26.0,144977,24472,52.0,8,4.0
57,10,5.0,1,31.0,148629,23816,60.0,10,5.0
58,3,-3.0,1,32.0,140805,24886,101.0,3,6.0
59,13,6.0,1,25.0,151997,23687,27.0,13,7.0
60,18,10.0,1,4.0,169371,26045,12.0,24,8.0
61,16,7.0,1,4.0,155624,23305,4.0,16,9.0
62,15,5.0,1,8.0,154440,23949,12.0,15,10.0
63,6,-5.0,1,26.0,143501,23105,52.0,6,11.0
64,17,5.0,1,0.0,156364,30288,27.0,17,12.0
